epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3082.74,0.70462,0.51047,1.17159,0.95611,0.99035,0.99267,0.76792,0.8167,0.51053,1.27924,0.00056704,0.00056704,0.00056704
71,3136.51,0.74169,0.55234,1.21254,0.99173,0.94345,0.99187,0.82,0.62065,0.39006,1.11981,0.000556742,0.000556742,0.000556742
72,3190.23,0.76442,0.53838,1.23132,0.94571,0.97735,0.98417,0.85908,0.58853,0.41962,1.08699,0.000546421,0.000546421,0.000546421
73,3242.85,0.78916,0.58895,1.23819,0.95478,0.94345,0.98417,0.81699,0.7631,0.46847,1.21864,0.000536081,0.000536081,0.000536081
74,3295.85,0.79078,0.61904,1.24107,0.98177,0.94345,0.98187,0.80778,0.73294,0.51102,1.2186,0.000525728,0.000525728,0.000525728
75,3346.9,0.75831,0.63278,1.21502,0.96991,0.94345,0.98013,0.82775,0.5938,0.56822,1.10914,0.000515366,0.000515366,0.000515366
76,3392.79,0.72491,0.51683,1.19989,0.96013,0.93317,0.97874,0.83817,0.5709,0.50318,1.08219,0.000505,0.000505,0.000505
77,3447.03,0.75917,0.57604,1.24082,0.98804,0.94345,0.98642,0.82212,0.68035,0.4875,1.16461,0.000494634,0.000494634,0.000494634
78,3493.69,0.7588,0.5781,1.20878,0.99331,0.99675,0.995,0.81129,0.74523,0.43354,1.22964,0.000484272,0.000484272,0.000484272
79,3537.46,0.70369,0.47067,1.16273,0.99412,1,0.995,0.8271,0.70866,0.36696,1.22309,0.000473919,0.000473919,0.000473919
80,3585.78,0.76518,0.5516,1.22059,0.99756,1,0.995,0.75157,0.94739,0.41209,1.47298,0.000463579,0.000463579,0.000463579
81,3629.4,0.74041,0.55427,1.21514,0.99879,1,0.995,0.77367,0.84872,0.37365,1.37685,0.000453258,0.000453258,0.000453258
82,3673.98,0.7622,0.58452,1.23028,1,0.99866,0.995,0.84079,0.64109,0.3317,1.13767,0.00044296,0.00044296,0.00044296
83,3718.03,0.67085,0.45933,1.14013,0.9901,0.94345,0.98328,0.86199,0.54319,0.32676,1.06107,0.000432689,0.000432689,0.000432689
84,3762.06,0.75257,0.53108,1.20127,0.98114,0.90665,0.96793,0.86105,0.51187,0.32923,1.03102,0.000422449,0.000422449,0.000422449
85,3803.58,0.73766,0.53584,1.22139,0.9695,0.94345,0.96793,0.86693,0.5056,0.3254,1.02782,0.000412246,0.000412246,0.000412246
86,3847.51,0.66058,0.50335,1.12418,0.99702,0.94345,0.96899,0.86743,0.49777,0.30483,1.01974,0.000402084,0.000402084,0.000402084
87,3891.85,0.66826,0.49327,1.18663,1,0.97917,0.987,0.88859,0.49499,0.31395,1.0144,0.000391966,0.000391966,0.000391966
88,3944.82,0.76362,0.54809,1.24075,0.9844,0.97917,0.9865,0.86336,0.56101,0.30513,1.07273,0.000381899,0.000381899,0.000381899
89,4001.45,0.69411,0.48325,1.16823,0.9932,0.97917,0.98604,0.86113,0.58624,0.31578,1.0871,0.000371885,0.000371885,0.000371885
90,4054.28,0.67954,0.4825,1.17348,0.98794,0.97917,0.98604,0.85884,0.6198,0.31378,1.1084,0.000361929,0.000361929,0.000361929
91,4110.82,0.66822,0.47463,1.15264,0.94444,1,0.99278,0.85568,0.624,0.33262,1.10676,0.000352037,0.000352037,0.000352037
92,4168.89,0.63891,0.4231,1.16213,0.94182,1,0.99278,0.84586,0.66905,0.34488,1.14518,0.000342211,0.000342211,0.000342211
93,4225.77,0.71216,0.51501,1.17025,0.9891,0.97917,0.99346,0.86428,0.60335,0.31331,1.09486,0.000332457,0.000332457,0.000332457
94,4279.77,0.68735,0.4682,1.19262,0.99463,0.97917,0.9942,0.89584,0.49314,0.28737,1.01142,0.000322778,0.000322778,0.000322778
95,4329.45,0.64296,0.45506,1.12864,0.99162,0.97917,0.987,0.90834,0.46972,0.28266,0.98903,0.00031318,0.00031318,0.00031318
96,4382.72,0.62512,0.45216,1.11082,0.96636,0.97917,0.987,0.87859,0.55195,0.3248,1.04512,0.000303665,0.000303665,0.000303665
97,4433.45,0.72258,0.494,1.17575,0.96291,0.97917,0.987,0.87688,0.54276,0.33209,1.03921,0.000294239,0.000294239,0.000294239
98,4489.36,0.75267,0.5717,1.25185,0.95979,0.97917,0.98417,0.86752,0.52668,0.32071,1.02978,0.000284906,0.000284906,0.000284906
99,4544.83,0.66113,0.48998,1.15105,0.95462,0.97537,0.987,0.87864,0.47567,0.29828,0.99825,0.000275668,0.000275668,0.000275668
100,4592.77,0.71393,0.55585,1.26775,0.98912,0.97917,0.987,0.89311,0.41196,0.26687,0.96121,0.000266532,0.000266532,0.000266532
101,4640.83,0.69344,0.48689,1.2026,0.99362,0.97917,0.987,0.89181,0.43104,0.26617,0.98272,0.0002575,0.0002575,0.0002575
102,4690.3,0.66493,0.48294,1.15444,0.9919,0.97997,0.995,0.88659,0.48258,0.26791,1.01383,0.000248577,0.000248577,0.000248577
103,4745.15,0.63655,0.46244,1.16331,0.99199,0.97917,0.987,0.86659,0.56637,0.29078,1.05828,0.000239766,0.000239766,0.000239766
104,4800.09,0.66942,0.45418,1.17404,0.99119,0.97917,0.987,0.85835,0.65668,0.31979,1.12715,0.000231071,0.000231071,0.000231071
105,4857.47,0.63075,0.48428,1.13582,0.99078,0.97917,0.987,0.85607,0.67882,0.31735,1.14645,0.000222497,0.000222497,0.000222497
106,4917.51,0.69932,0.47489,1.19047,0.9912,0.97917,0.987,0.87352,0.62714,0.30191,1.10588,0.000214046,0.000214046,0.000214046
107,4973.59,0.63263,0.46433,1.1293,0.98737,0.97917,0.9865,0.89644,0.54201,0.29159,1.04894,0.000205723,0.000205723,0.000205723
108,5028.11,0.61006,0.42763,1.13479,0.98994,0.97917,0.9865,0.88887,0.52819,0.27652,1.02664,0.000197532,0.000197532,0.000197532
109,5078.79,0.62675,0.45673,1.14048,0.99161,0.97917,0.9865,0.87293,0.55499,0.28339,1.04099,0.000189475,0.000189475,0.000189475
110,5131.22,0.63304,0.4207,1.14693,0.99599,0.98131,0.995,0.86232,0.5583,0.27806,1.04464,0.000181557,0.000181557,0.000181557
111,5183.84,0.64245,0.47906,1.1324,1,1,0.995,0.86974,0.52252,0.27194,1.02402,0.00017378,0.00017378,0.00017378
112,5236.69,0.60859,0.42579,1.11747,1,1,0.995,0.88082,0.47181,0.26837,0.99655,0.000166149,0.000166149,0.000166149
113,5283.41,0.59543,0.37528,1.09887,1,1,0.995,0.89028,0.46697,0.26322,1.00221,0.000158667,0.000158667,0.000158667
114,5333.94,0.63056,0.41086,1.12495,1,1,0.995,0.90105,0.45437,0.25646,1.00158,0.000151336,0.000151336,0.000151336
115,5379.6,0.64956,0.45374,1.12025,1,1,0.995,0.89859,0.4534,0.25653,1.00917,0.000144161,0.000144161,0.000144161
116,5436.19,0.64594,0.44433,1.16314,0.98,1,0.9942,0.8854,0.49228,0.25626,1.02857,0.000137143,0.000137143,0.000137143
117,5499.72,0.59586,0.41756,1.09601,1,1,0.995,0.8858,0.50931,0.25605,1.03713,0.000130287,0.000130287,0.000130287
118,5562.36,0.6118,0.38426,1.13293,1,1,0.995,0.87928,0.52322,0.25216,1.0482,0.000123596,0.000123596,0.000123596
119,5610.19,0.72668,0.48591,1.20407,0.98658,1,0.995,0.8865,0.54938,0.25619,1.06551,0.000117072,0.000117072,0.000117072
120,5657.71,0.64097,0.43647,1.1287,0.98805,1,0.995,0.88257,0.54658,0.2649,1.05515,0.000110718,0.000110718,0.000110718
121,5704.3,0.63404,0.42609,1.1418,0.98687,1,0.995,0.88618,0.53865,0.25927,1.04377,0.000104537,0.000104537,0.000104537
122,5753.22,0.60397,0.3745,1.1216,0.98515,1,0.995,0.89838,0.51814,0.25279,1.02704,9.85311e-05,9.85311e-05,9.85311e-05
123,5802.91,0.60237,0.43521,1.12861,0.98201,1,0.995,0.90883,0.49722,0.25162,1.00892,9.2704e-05,9.2704e-05,9.2704e-05
124,5848.97,0.59908,0.40588,1.11566,0.97309,1,0.995,0.90782,0.48123,0.24062,0.99855,8.70577e-05,8.70577e-05,8.70577e-05
125,5895.07,0.61942,0.44597,1.13072,0.96667,1,0.995,0.90496,0.47706,0.2399,0.99497,8.15947e-05,8.15947e-05,8.15947e-05
126,5942.96,0.58152,0.40319,1.10627,0.96667,1,0.995,0.9134,0.46676,0.24263,0.98615,7.63174e-05,7.63174e-05,7.63174e-05
127,5993.76,0.6301,0.43324,1.14331,0.96667,1,0.995,0.90981,0.46933,0.24566,0.9827,7.12282e-05,7.12282e-05,7.12282e-05
128,6044.99,0.57246,0.36864,1.11059,0.9825,0.97917,0.987,0.89608,0.47258,0.24859,0.98346,6.63292e-05,6.63292e-05,6.63292e-05
129,6090.02,0.56081,0.37815,1.12703,0.98294,0.97917,0.987,0.89159,0.47929,0.24937,0.98777,6.16227e-05,6.16227e-05,6.16227e-05
130,6131.61,0.58673,0.36951,1.11098,0.98333,0.97917,0.987,0.89532,0.48626,0.25281,0.99224,5.71106e-05,5.71106e-05,5.71106e-05
